ID,Probennehmer,Expedition,Year,Lat,Lon,Locality,Rock_description,Rock_name,Rock_suite,Rock_type,Susceptibility_average,Density
NWR 221 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2156,-71.283,13.617,Obersee,Anorthosit,Anorthosite,Anorthosite suite,Anorthosite,0.2064,2.691865079
118,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.91806,-5.3,Uven,Basalt,Basalt,Anorthosite suite,Basic rocks,28.09,2.951
119,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.91806,-5.3,Uven,Basalt,Basalt,Anorthosite suite,Basic rocks,32,2.986
4281,Jacobs,GeoMaud,1995/96,-71.783,9.66667,Pettersenegga; S-Gipfel,basaltischer Sill mit überprägten Plag-Phenoxten,Basalt,Anorthosite suite,Basic rocks,0.846666667,2.74
114,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.95,-5.41667,Fault Nunatak,feink. bas. Intrusiva,Basite,Anorthosite suite,Basic rocks,0.716,3.041
4307,Jacobs,GeoMaud,1995/96,-71.833,9.7,Conrad Tonalite Valley,"Basit, Ft-Probe, H: 1520 m",Basite,Anorthosite suite,Basic rocks,5.07,
NWR 179 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2116,-71.583,12.167,westl. Petermann Range,bas. Einschaltung,Basite,Anorthosite suite,Basic rocks,0.129,2.61627907
23,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.9675,-5.8,Gavlpiggen,bas. Vulkanit aus Sill,Basite Vulkanit (Sill),Anorthosite suite,Basic rocks,1.504,2.838
31,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-74.03528,-5.61806,Ladgavlen,bas. Vulkanit aus Sill,Basite Vulkanit (Sill),Anorthosite suite,Basic rocks,0.756,3.042
47,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-74.08389,-6.30139,Frostbite Bluff,Deform. Dyke,Dyke,Anorthosite suite,Basic rocks,0.588,2.805
4639,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.017,3.95,"W-Mühlig-Hofmann-Gebirge; Hoggestabben Nord, AS 23",Vesikulärer jurassischer Dyke; NW-Dyke,Dyke,Anorthosite suite,Basic rocks,40.452,2.893
4203,Jacobs,GeoMaud,1995/96,-71.833,9.7,Zentraler Teil Conrad,Pyroxenit from Boudin,Pyroxenite,Anorthosite suite,Basic rocks,0.6,3.043
4184,Jacobs,GeoMaud,1995/96,-71.833,9.7,E-Conrad Ridge,4 Stücke mit verschiedenen Replacement Charnockiten,Charnockite,Granitoid suite,Charnockite,2.2083,
4185,Jacobs,GeoMaud,1995/96,-71.833,9.7,E-Conrad Ridge,4 Stücke mit verschiedenen Replacement Charnockiten,Charnockite,Granitoid suite,Charnockite,0.607,2.66
4187,Jacobs,GeoMaud,1995/96,-71.833,9.7,E-Conrad Ridge,4 Stücke mit verschiedenen Replacement Charnockiten,Charnockite,Granitoid suite,Charnockite,0.17,
4336,Jacobs,GeoMaud,1995/96,-71.867,8.884,Zentral Holtedahl,"charnockitische Partie, Opx?",Charnockite,Granitoid suite,Charnockite,1.1333,
4631,Jacobs,"GeoMaud 2, NARP",1999/2000,-72.05,4.05,"W-Mühlig-Hofmann-Gebirge; Spota, AS20","Charnockit von W-Spitze, Petro",Charnockite,Granitoid suite,Charnockite,0.278,2.779
DML 101 ,Laufer,DFG Geological Expedition To Central DML Antarctica,,-73.192,4.026,W of Hoggestabben,charnockite,Charnockite,Granitoid suite,Charnockite,0.8502,2.674778761
NWR 102 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2077,-71.697,7.927,Steinsteinen,"Charnockit, j?nger",Charnockite,Granitoid suite,Charnockite,1.7084,2.77
NWR 103 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2078,-71.697,7.927,Steinsteinen,Charnockit,Charnockite,Granitoid suite,Charnockite,1.6382,2.738075314
NWR 11 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2006,-71.691,9.654,Conrad Mountains,Charnokite,Charnockite,Granitoid suite,Charnockite,1.703,2.762328213
NWR 156 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2097,-71.516,12.583,"Petermann Range, ""Castle""",Charnokit / Pegmatit,Charnockite,Granitoid suite,Charnockite,0.2476,2.681715576
NWR 158 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2099,-71.521,12.721,"Petermann Range, ""Castle""",Charnockit / Syenit,Charnockite,Granitoid suite,Charnockite,1.4262,2.65974026
NWR 195 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2130,-71.654,12.515,Sudl. Schwarzhorn,charnockit Fragment,Charnockite,Granitoid suite,Charnockite,2.068,2.84029484
NWR 206 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2141,-71.6,12.557,Schwarzhorn,"diorit. Gang, intrus. Charnockit?",Charnockite,Granitoid suite,Charnockite,5.8514,2.714141414
NWR 97 ,Roland,"GeoMaud (Central Dronning Maud Land), 1995/96",1995/2072,-71.697,7.927,Steinsteinen,Charnockit,Charnockite,Granitoid suite,Charnockite,1.662,2.671732523
4364,Jacobs,GeoMaud,1995/96,-71.75,10.33333,Dallmann Top,Enderbit mit großen Opx!,Enderbite,Granitoid suite,Charnockite,0.3417,
14,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-74.11667,-6.2,Muskeg Cliff,Gabbro,Gabbro,Granitoid suite,Gabbro,0.693,2.952
17,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-74.11861,-6.13333,Muskeg Cliff,Gabbro,Gabbro,Granitoid suite,Gabbro,0.058,2.676
69,Helferich,Südafrikanische Dronning Maud Land Expedition,1997/98,-73.6,-4.31667,"Nunatak 1,3 km WNW´ Enden",feink. Gabbro nahe Intrusionskontakt,Gabbro,Granitoid suite,Gabbro,13.324,3.022
